fold;decision_tree;random_forest;naive_bayes;decision_tree;random_forest;naive_bayes;decision_tree;random_forest;naive_bayes
Fold-0;0.5463362068965517;0.8023648648648649;0.6285425101214575;0.5451680672268908;0.6880252100840336;0.6334033613445378;0.5454545454545454;0.6953846153846154;0.6296296296296297
Fold-1;0.4629629629629629;0.7071428571428571;0.6129807692307692;0.46218487394957986;0.6523109243697479;0.5987394957983193;0.4623376623376623;0.656084656084656;0.6000000000000001
Fold-2;0.7211538461538461;0.6428571428571428;0.5555555555555556;0.6932773109243697;0.6050420168067226;0.5567226890756303;0.7;0.6031746031746031;0.5558441558441558
Fold-3;0.7;0.696969696969697;0.6481481481481481;0.7100840336134454;0.6638655462184874;0.6512605042016807;0.7016828148903621;0.669304691916337;0.6493506493506493
Fold-4;0.5438596491228069;0.6775568181818181;0.5438596491228069;0.5462962962962963;0.6446759259259259;0.5462962962962963;0.5422969187675071;0.6490897677338354;0.5422969187675071
Fold-5;1.0;0.8571428571428572;0.8571428571428572;1.0;0.6666666666666666;0.6666666666666666;1.0;0.6666666666666666;0.6666666666666666
Fold-6;0.8;1.0;0.75;0.8;1.0;0.7;0.7499999999999999;1.0;0.6190476190476191
Fold-7;1.0;0.7333333333333334;0.5833333333333333;1.0;0.7333333333333334;0.5666666666666667;1.0;0.7333333333333334;0.5636363636363636
Fold-8;0.8333333333333333;1.0;0.2857142857142857;0.6666666666666666;1.0;0.5;0.65;1.0;0.36363636363636365
Fold-9;0.9;0.9;0.3333333333333333;0.75;0.75;0.5;0.7777777777777778;0.7777777777777778;0.4
Fold-10;0.722943722943723;0.6173469387755102;0.5081699346405228;0.6807017543859649;0.5403508771929825;0.5087719298245614;0.6942307692307693;0.5190562613430127;0.5076013513513513
Fold-11;0.7445054945054945;0.7569767441860464;0.5163461538461538;0.7342105263157894;0.6938596491228071;0.5149122807017544;0.7389162561576355;0.7120987654320987;0.5146520146520147
Fold-12;0.8018292682926829;0.8486111111111111;0.5572463768115943;0.7605263157894737;0.7201754385964912;0.5692982456140351;0.7763713080168776;0.750130958617077;0.5487616099071208
Fold-13;0.7001689189189189;0.8648989898989898;0.5416666666666666;0.7078947368421052;0.7535087719298246;0.5491228070175438;0.7036559139784946;0.7845528455284554;0.5373015873015873
Fold-14;0.761437908496732;0.88;0.5781499202551834;0.8007518796992481;0.5714285714285714;0.5921052631578947;0.7743055555555556;0.5568181818181819;0.5783183952198037
Fold-15;0.9673913043478262;0.6699999999999999;0.4117647058823529;0.8333333333333333;0.5439276485788114;0.4883720930232558;0.8831460674157303;0.5425219941348973;0.44680851063829785
Fold-16;0.6698717948717949;0.7708333333333333;0.4148936170212766;0.7311046511627908;0.6133720930232558;0.45348837209302323;0.6890243902439025;0.6433566433566433;0.4333333333333333
Fold-17;0.9574468085106382;0.9387755102040816;0.5239130434782608;0.75;0.625;0.5159883720930232;0.8111111111111111;0.6673913043478261;0.5151253241140881
Fold-18;0.775609756097561;0.9058441558441559;0.550531914893617;0.8284883720930232;0.8633720930232558;0.5276162790697674;0.7976190476190476;0.8827586206896552;0.5277777777777778
Fold-19;0.8378048780487805;0.8565217391304347;0.4111111111111111;0.9026162790697674;0.7383720930232558;0.43023255813953487;0.8650793650793651;0.7796024200518583;0.4204545454545454
Fold-20;0.875;0.6928571428571428;0.4431818181818182;0.9230769230769231;0.6730769230769231;0.4358974358974359;0.8869047619047619;0.6801346801346801;0.43452380952380953
